spoken,written,division
konin,konid,19
pošt‐eš,pošt‐aš,19
xub‐e,xub‐ast,19
dast‐etun,dast‐etān,19
nakone,nakonad,19
nadāre,nadārad,19
cāhār‐o punsad,cāhār hezār‐o pānsad,19
basta ro,baste rā,20
tu‐š,tu‐yaš,20
yexurda‐m,yekxorde ham,20
mixāyn,mixāhid,20
befrestin,beferestid,20
post‐eš,post‐aš,20
caqad,ceqadr,20
miše,mišavad,20
bezārin,begozārid,20
vazn‐eš,vazn‐aš,20
punsad,pānsad,20
Toman,Tumān,20
āddi,ādi,20
mikeše,mikešad,20
hazina‐š,hazine‐aš,20
šiš,šeš,20
xob,xub,20
nešuni,nešāni,20
giranda ro,girande rā,20
ru‐š,ru‐yaš,20
benevisin,benevisid,20
form‐am,form rā ham,20
konin,konid,20
cašm,be ru‐ye cešm,20
bebaxšin,bebaxšid,21
amr‐etun‐o,amr‐etān rā,21
befarmāyin,befarmāyid,21
miše,mišavad,21
punsad,pānsad,21
cand‐e,cand‐ast,21
ye,yek,21
bedin,bedehid,21
Toman,Tumān,21
divist,devist,21
umade,āmade,21
bāše,bāšad,21
konin,konid,22
bilit,belit,22
mixāyn,mixāhid,22
mise,mišavad,22
Toman,Tumān,22
xob,xub,22
befarmāyin,befarmāyid,22
xodetun,xodetān,22
hamrāh‐etun‐o,hamrāh‐etān rā,22
ye,yek,22
in‐am,in ham,22
belitā‐tun,belithā‐yetān,22
tu,tu‐ye/dar,22
parvāzā,parvāzhā,22
bāšin,bāšid,22
IR 721‐e,IR 721‐ast,22
gozarnāmehā‐tun‐am,gozarnāmehā‐yetān ham,22
yād‐etun nare,yād‐etān naravad,22
bilitā‐tun‐o,belithā‐yetān rā,23
konin,konid,23
befarmāyin,befarmāyid,23
camedun,camedān,23
ye,yek,23
sākdasti‐yam,sākdasti ham,23
tu,tu‐ye,23
age,agar,23
miše,mišavad,23
cašm,be ru‐ye cešm,23
kārtā,kārthā,23
parvāz‐etun,parvāz‐etān,23
bebarin,bebarid,23
gozarnāma‐tun,gozarnāme‐tān,23
Išun,išān,23
pesar‐etun‐an,pesar‐etān‐and,23
bebaxšin,bebaxšid,24
Pāris‐o,Pāris rā,24
bebarin,bebarid,24
tu‐š,tu‐yaš,24
dārin,dārid,24
yemeqdār‐am,yekmeqdār ham,24
moāf‐in,moāf‐id,24
dāšte bāšin,dāšte bāšid,24
motšakker‐am,motešakker‐am,24
bilit,belit,25
barā,barā ye,25
age,agar,25
miše,mišavad,25
sandaliyā,sandalihā,25
bāše,bāšad,25
Toman,Tumān,25
konin,konid,25
ye,yek,25
rob,rob’,25
tu,tu‐ye,25
bāšin,bāšid,25
dar‐e sālon‐o,dar‐e sālon rā,25
unmowqe,ānmowqe’,25
mibandan,mibandand,25
